second,Volt
+17.8000E-06,-296.8750000E-03
+18.0000E-06,-296.8750000E-03
+18.2000E-06,-296.8750000E-03
+18.4000E-06,-281.2500000E-03
+18.6000E-06,-312.5000000E-03
+18.8000E-06,-296.8750000E-03
+19.0000E-06,-312.5000000E-03
+19.2000E-06,-328.1250000E-03
+19.4000E-06,-328.1250000E-03
+19.6000E-06,-343.7500000E-03
+19.8000E-06,-359.3750000E-03
+20.0000E-06,-359.3750000E-03
+20.2000E-06,-390.6250000E-03
+20.4000E-06,-406.2500000E-03
+20.6000E-06,-421.8750000E-03
+20.8000E-06,-437.5000000E-03
+21.0000E-06,-437.5000000E-03
+21.2000E-06,-437.5000000E-03
+21.4000E-06,-421.8750000E-03
+21.6000E-06,-437.5000000E-03
+21.8000E-06,-437.5000000E-03
+22.0000E-06,-421.8750000E-03
+22.2000E-06,-406.2500000E-03
+22.4000E-06,-406.2500000E-03
+22.6000E-06,-406.2500000E-03
+22.8000E-06,-390.6250000E-03
+23.0000E-06,-375.0000000E-03
+23.2000E-06,-375.0000000E-03
+23.4000E-06,-359.3750000E-03
+23.6000E-06,-359.3750000E-03
+23.8000E-06,-359.3750000E-03
+24.0000E-06,-343.7500000E-03
+24.2000E-06,+968.7500000E-03
+24.4000E-06,+890.6250000E-03
+24.6000E-06,+1.1250000000E+00
+24.8000E-06,+1.2656250000E+00
+25.0000E-06,+1.2812500000E+00
+25.2000E-06,+1.2343750000E+00
+25.4000E-06,+1.2187500000E+00
+25.6000E-06,+1.2187500000E+00
+25.8000E-06,+1.2500000000E+00
+26.0000E-06,+1.2343750000E+00
+26.2000E-06,+1.2187500000E+00
+26.4000E-06,+1.1562500000E+00
+26.6000E-06,+1.1250000000E+00
+26.8000E-06,+1.0937500000E+00
+27.0000E-06,+1.0937500000E+00
+27.2000E-06,+1.1093750000E+00
+27.4000E-06,+1.1250000000E+00
+27.6000E-06,+1.1562500000E+00
+27.8000E-06,+1.1406250000E+00
+28.0000E-06,+1.1406250000E+00
+28.2000E-06,+640.6250000E-03
+28.4000E-06,+31.2500000E-03
+28.6000E-06,-187.5000000E-03
+28.8000E-06,-375.0000000E-03
+29.0000E-06,-437.5000000E-03
+29.2000E-06,-421.8750000E-03
+29.4000E-06,-375.0000000E-03
+29.6000E-06,-359.3750000E-03
+29.8000E-06,-390.6250000E-03
+30.0000E-06,-390.6250000E-03
+30.2000E-06,-390.6250000E-03
+30.4000E-06,-375.0000000E-03
+30.6000E-06,-359.3750000E-03
+30.8000E-06,-328.1250000E-03
+31.0000E-06,-328.1250000E-03
+31.2000E-06,-343.7500000E-03
+31.4000E-06,-343.7500000E-03
+31.6000E-06,-359.3750000E-03
+31.8000E-06,-375.0000000E-03
+32.0000E-06,-359.3750000E-03
