second,Volt
+123.0000E-06,+625.0000000E-03
+123.2000E-06,+625.0000000E-03
+123.4000E-06,+609.3750000E-03
+123.6000E-06,+640.6250000E-03
+123.8000E-06,+656.2500000E-03
+124.0000E-06,+640.6250000E-03
+124.2000E-06,+625.0000000E-03
+124.4000E-06,+640.6250000E-03
+124.6000E-06,+640.6250000E-03
+124.8000E-06,+625.0000000E-03
+125.0000E-06,+625.0000000E-03
+125.2000E-06,+640.6250000E-03
+125.4000E-06,+625.0000000E-03
+125.6000E-06,+656.2500000E-03
+125.8000E-06,+625.0000000E-03
+126.0000E-06,+625.0000000E-03
+126.2000E-06,+656.2500000E-03
+126.4000E-06,+640.6250000E-03
+126.6000E-06,+640.6250000E-03
+126.8000E-06,+640.6250000E-03
+127.0000E-06,+625.0000000E-03
+127.2000E-06,+625.0000000E-03
+127.4000E-06,+578.1250000E-03
+127.6000E-06,+640.6250000E-03
+127.8000E-06,+640.6250000E-03
+128.0000E-06,+640.6250000E-03
+128.2000E-06,+640.6250000E-03
+128.4000E-06,+656.2500000E-03
+128.6000E-06,+640.6250000E-03
+128.8000E-06,+640.6250000E-03
+129.0000E-06,+640.6250000E-03
+129.2000E-06,+640.6250000E-03
+129.4000E-06,+656.2500000E-03
+129.6000E-06,+640.6250000E-03
+129.8000E-06,+656.2500000E-03
+130.0000E-06,+640.6250000E-03
+130.2000E-06,+640.6250000E-03
+130.4000E-06,+640.6250000E-03
+130.6000E-06,+625.0000000E-03
+130.8000E-06,+640.6250000E-03
+131.0000E-06,+656.2500000E-03
+131.2000E-06,+625.0000000E-03
+131.4000E-06,+640.6250000E-03
+131.6000E-06,+625.0000000E-03
+131.8000E-06,+625.0000000E-03
+132.0000E-06,+1.2343750000E+00
+132.2000E-06,+1.5156250000E+00
+132.4000E-06,+1.7812500000E+00
+132.6000E-06,+2.0781250000E+00
+132.8000E-06,+2.1406250000E+00
+133.0000E-06,+2.0781250000E+00
+133.2000E-06,+2.0312500000E+00
+133.4000E-06,+2.0625000000E+00
+133.6000E-06,+2.1406250000E+00
+133.8000E-06,+2.1406250000E+00
+134.0000E-06,+2.1093750000E+00
+134.2000E-06,+2.0625000000E+00
+134.4000E-06,+2.0156250000E+00
+134.6000E-06,+2.0000000000E+00
+134.8000E-06,+2.0156250000E+00
+135.0000E-06,+2.0312500000E+00
+135.2000E-06,+2.0625000000E+00
+135.4000E-06,+2.0781250000E+00
+135.6000E-06,+2.0937500000E+00
+135.8000E-06,+2.0625000000E+00
+136.0000E-06,+2.0468750000E+00
+136.2000E-06,+2.0156250000E+00
+136.4000E-06,+1.9843750000E+00
