second,Volt
+76.4000E-06,-43.7499881E-03
+76.6000E-06,-74.9999881E-03
+76.8000E-06,-74.9999881E-03
+77.0000E-06,-43.7499881E-03
+77.2000E-06,-74.9999881E-03
+77.4000E-06,-43.7499881E-03
+77.6000E-06,-43.7499881E-03
+77.8000E-06,-43.7499881E-03
+78.0000E-06,-43.7499881E-03
+78.2000E-06,-43.7499881E-03
+78.4000E-06,-74.9999881E-03
+78.6000E-06,-43.7499881E-03
+78.8000E-06,-74.9999881E-03
+79.0000E-06,-43.7499881E-03
+79.2000E-06,-43.7499881E-03
+79.4000E-06,-43.7499881E-03
+79.6000E-06,-43.7499881E-03
+79.8000E-06,-43.7499881E-03
+80.0000E-06,-43.7499881E-03
+80.2000E-06,-43.7499881E-03
+80.4000E-06,-74.9999881E-03
+80.6000E-06,-43.7499881E-03
+80.8000E-06,-12.4999881E-03
+81.0000E-06,-43.7499881E-03
+81.2000E-06,-43.7499881E-03
+81.4000E-06,-43.7499881E-03
+81.6000E-06,-43.7499881E-03
+81.8000E-06,-43.7499881E-03
+82.0000E-06,-43.7499881E-03
+82.2000E-06,-43.7499881E-03
+82.4000E-06,-43.7499881E-03
+82.6000E-06,-43.7499881E-03
+82.8000E-06,-74.9999881E-03
+83.0000E-06,-43.7499881E-03
+83.2000E-06,-43.7499881E-03
+83.4000E-06,-43.7499881E-03
+83.6000E-06,-43.7499881E-03
+83.8000E-06,-43.7499881E-03
+84.0000E-06,+2.1750000119E+00
+84.2000E-06,+2.3312500119E+00
+84.4000E-06,+2.3000000119E+00
+84.6000E-06,+2.3000000119E+00
+84.8000E-06,+2.3000000119E+00
+85.0000E-06,+2.3000000119E+00
+85.2000E-06,+2.3000000119E+00
+85.4000E-06,+2.3000000119E+00
+85.6000E-06,+2.3000000119E+00
+85.8000E-06,+2.3000000119E+00
+86.0000E-06,+2.3000000119E+00
+86.2000E-06,+2.2687500119E+00
+86.4000E-06,+2.2687500119E+00
+86.6000E-06,+2.2687500119E+00
+86.8000E-06,+2.2687500119E+00
+87.0000E-06,+2.2687500119E+00
+87.2000E-06,+2.2687500119E+00
+87.4000E-06,+2.2687500119E+00
+87.6000E-06,+2.2687500119E+00
+87.8000E-06,+2.2687500119E+00
+88.0000E-06,-199.9999881E-03
+88.2000E-06,-137.4999881E-03
+88.4000E-06,-168.7499881E-03
+88.6000E-06,-137.4999881E-03
+88.8000E-06,-106.2499881E-03
+89.0000E-06,-106.2499881E-03
+89.2000E-06,-106.2499881E-03
+89.4000E-06,-137.4999881E-03
+89.6000E-06,-106.2499881E-03
+89.8000E-06,-106.2499881E-03
+90.0000E-06,-74.9999881E-03
+90.2000E-06,-74.9999881E-03
+90.4000E-06,-106.2499881E-03
+90.6000E-06,-106.2499881E-03
+90.8000E-06,-106.2499881E-03
+91.0000E-06,-74.9999881E-03
+91.2000E-06,-74.9999881E-03
+91.4000E-06,-74.9999881E-03
+91.6000E-06,-74.9999881E-03
+91.8000E-06,-74.9999881E-03
+92.0000E-06,-74.9999881E-03
+92.2000E-06,-74.9999881E-03
+92.4000E-06,-43.7499881E-03
+92.6000E-06,-43.7499881E-03
+92.8000E-06,-43.7499881E-03
+93.0000E-06,-74.9999881E-03
+93.2000E-06,-74.9999881E-03
+93.4000E-06,-74.9999881E-03
+93.6000E-06,-43.7499881E-03
+93.8000E-06,-43.7499881E-03
+94.0000E-06,-43.7499881E-03
+94.2000E-06,-43.7499881E-03
+94.4000E-06,-43.7499881E-03
+94.6000E-06,-43.7499881E-03
