second,Volt
+39.6000E-06,+915.6249762E-03
+39.8000E-06,+931.2499762E-03
+40.0000E-06,+1.2593749762E+00
+40.2000E-06,+2.1656249762E+00
+40.4000E-06,+2.3062499762E+00
+40.6000E-06,+2.4937499762E+00
+40.8000E-06,+2.5249999762E+00
+41.0000E-06,+2.4937499762E+00
+41.2000E-06,+2.4937499762E+00
+41.4000E-06,+2.4937499762E+00
+41.6000E-06,+2.5249999762E+00
+41.8000E-06,+2.5249999762E+00
+42.0000E-06,+2.4937499762E+00
+42.2000E-06,+2.4781249762E+00
+42.4000E-06,+2.4468749762E+00
+42.6000E-06,+2.4156249762E+00
+42.8000E-06,+2.3843749762E+00
+43.0000E-06,+2.3999999762E+00
+43.2000E-06,+2.4156249762E+00
+43.4000E-06,+2.4312499762E+00
+43.6000E-06,+2.4312499762E+00
+43.8000E-06,+2.3999999762E+00
+44.0000E-06,+2.3218749762E+00
+44.2000E-06,+1.0562499762E+00
+44.4000E-06,+946.8749762E-03
+44.6000E-06,+743.7499762E-03
+44.8000E-06,+712.4999762E-03
+45.0000E-06,+774.9999762E-03
+45.2000E-06,+853.1249762E-03
+45.4000E-06,+821.8749762E-03
+45.6000E-06,+790.6249762E-03
+45.8000E-06,+790.6249762E-03
+46.0000E-06,+821.8749762E-03
+46.2000E-06,+837.4999762E-03
+46.4000E-06,+884.3749762E-03
+46.6000E-06,+931.2499762E-03
+46.8000E-06,+931.2499762E-03
+47.0000E-06,+931.2499762E-03
+47.2000E-06,+931.2499762E-03
+47.4000E-06,+899.9999762E-03
+47.6000E-06,+899.9999762E-03
+47.8000E-06,+899.9999762E-03
+48.0000E-06,+915.6249762E-03
+48.2000E-06,+915.6249762E-03
+48.4000E-06,+915.6249762E-03
+48.6000E-06,+931.2499762E-03
+48.8000E-06,+915.6249762E-03
+49.0000E-06,+915.6249762E-03
+49.2000E-06,+868.7499762E-03
+49.4000E-06,+868.7499762E-03
+49.6000E-06,+868.7499762E-03
+49.8000E-06,+853.1249762E-03
+50.0000E-06,+884.3749762E-03
+50.2000E-06,+868.7499762E-03
+50.4000E-06,+868.7499762E-03
+50.6000E-06,+899.9999762E-03
+50.8000E-06,+868.7499762E-03
+51.0000E-06,+868.7499762E-03
+51.2000E-06,+868.7499762E-03
+51.4000E-06,+868.7499762E-03
+51.6000E-06,+868.7499762E-03
+51.8000E-06,+899.9999762E-03
+52.0000E-06,+899.9999762E-03
+52.2000E-06,+915.6249762E-03
+52.4000E-06,+931.2499762E-03
+52.6000E-06,+946.8749762E-03
+52.8000E-06,+946.8749762E-03
+53.0000E-06,+946.8749762E-03
+53.2000E-06,+931.2499762E-03
+53.4000E-06,+946.8749762E-03
+53.6000E-06,+946.8749762E-03
+53.8000E-06,+946.8749762E-03
+54.0000E-06,+962.4999762E-03
+54.2000E-06,+962.4999762E-03
+54.4000E-06,+946.8749762E-03
+54.6000E-06,+946.8749762E-03
+54.8000E-06,+931.2499762E-03
+55.0000E-06,+915.6249762E-03
+55.2000E-06,+899.9999762E-03
+55.4000E-06,+884.3749762E-03
+55.6000E-06,+899.9999762E-03
+55.8000E-06,+884.3749762E-03
+56.0000E-06,+884.3749762E-03
+56.2000E-06,+868.7499762E-03
+56.4000E-06,+853.1249762E-03
+56.6000E-06,+837.4999762E-03
+56.8000E-06,+853.1249762E-03
+57.0000E-06,+853.1249762E-03
+57.2000E-06,+853.1249762E-03
+57.4000E-06,+853.1249762E-03
+57.6000E-06,+853.1249762E-03
+57.8000E-06,+884.3749762E-03
+58.0000E-06,+899.9999762E-03
+58.2000E-06,+915.6249762E-03
+58.4000E-06,+915.6249762E-03
+58.6000E-06,+931.2499762E-03
+58.8000E-06,+931.2499762E-03
+59.0000E-06,+946.8749762E-03
+59.2000E-06,+962.4999762E-03
+59.4000E-06,+978.1249762E-03
+59.6000E-06,+978.1249762E-03
+59.8000E-06,+1.0093749762E+00
+60.0000E-06,+1.3374999762E+00
+60.2000E-06,+2.2749999762E+00
+60.4000E-06,+2.4312499762E+00
+60.6000E-06,+2.5874999762E+00
+60.8000E-06,+2.6031249762E+00
+61.0000E-06,+2.5562499762E+00
+61.2000E-06,+2.5249999762E+00
+61.4000E-06,+2.5093749762E+00
+61.6000E-06,+2.4937499762E+00
+61.8000E-06,+2.4937499762E+00
+62.0000E-06,+2.4312499762E+00
+62.2000E-06,+2.3687499762E+00
+62.4000E-06,+2.3218749762E+00
+62.6000E-06,+2.2749999762E+00
+62.8000E-06,+2.2593749762E+00
+63.0000E-06,+2.2749999762E+00
+63.2000E-06,+2.2906249762E+00
+63.4000E-06,+2.3062499762E+00
+63.6000E-06,+2.3062499762E+00
+63.8000E-06,+2.3218749762E+00
+64.0000E-06,+2.3218749762E+00
+64.2000E-06,+2.3374999762E+00
+64.4000E-06,+2.3531249762E+00
+64.6000E-06,+2.3843749762E+00
+64.8000E-06,+2.4312499762E+00
+65.0000E-06,+2.4937499762E+00
+65.2000E-06,+2.5562499762E+00
+65.4000E-06,+2.6031249762E+00
+65.6000E-06,+2.6187499762E+00
+65.8000E-06,+2.6499999762E+00
+66.0000E-06,+2.6812499762E+00
+66.2000E-06,+2.6812499762E+00
+66.4000E-06,+2.6499999762E+00
+66.6000E-06,+2.6812499762E+00
+66.8000E-06,+2.6499999762E+00
+67.0000E-06,+2.6499999762E+00
+67.2000E-06,+2.6031249762E+00
+67.4000E-06,+2.5562499762E+00
+67.6000E-06,+2.4937499762E+00
+67.8000E-06,+2.3687499762E+00
+68.0000E-06,+2.2593749762E+00
+68.2000E-06,+946.8749762E-03
+68.4000E-06,+774.9999762E-03
+68.6000E-06,+509.3749762E-03
+68.8000E-06,+415.6249762E-03
+69.0000E-06,+399.9999762E-03
+69.2000E-06,+384.3749762E-03
+69.4000E-06,+306.2499762E-03
+69.6000E-06,+228.1249762E-03
+69.8000E-06,+165.6249762E-03
+70.0000E-06,+149.9999762E-03
+70.2000E-06,+165.6249762E-03
+70.4000E-06,+149.9999762E-03
+70.6000E-06,+165.6249762E-03
+70.8000E-06,+149.9999762E-03
+71.0000E-06,+134.3749762E-03
+71.2000E-06,+134.3749762E-03
+71.4000E-06,+134.3749762E-03
+71.6000E-06,+165.6249762E-03
+71.8000E-06,+212.4999762E-03
+72.0000E-06,+259.3749762E-03
+72.2000E-06,+321.8749762E-03
+72.4000E-06,+399.9999762E-03
+72.6000E-06,+462.4999762E-03
+72.8000E-06,+524.9999762E-03
+73.0000E-06,+587.4999762E-03
+73.2000E-06,+649.9999762E-03
+73.4000E-06,+712.4999762E-03
+73.6000E-06,+821.8749762E-03
+73.8000E-06,+884.3749762E-03
+74.0000E-06,+946.8749762E-03
+74.2000E-06,+1.0249999762E+00
+74.4000E-06,+1.0562499762E+00
+74.6000E-06,+1.1031249762E+00
+74.8000E-06,+1.1187499762E+00
+75.0000E-06,+1.1343749762E+00
+75.2000E-06,+1.1187499762E+00
+75.4000E-06,+1.1343749762E+00
+75.6000E-06,+1.1343749762E+00
+75.8000E-06,+1.1031249762E+00
+76.0000E-06,+1.1031249762E+00
+76.2000E-06,+1.0874999762E+00
+76.4000E-06,+1.0406249762E+00
+76.6000E-06,+1.0093749762E+00
+76.8000E-06,+978.1249762E-03
+77.0000E-06,+946.8749762E-03
+77.2000E-06,+899.9999762E-03
+77.4000E-06,+884.3749762E-03
+77.6000E-06,+853.1249762E-03
+77.8000E-06,+837.4999762E-03
+78.0000E-06,+821.8749762E-03
+78.2000E-06,+821.8749762E-03
+78.4000E-06,+790.6249762E-03
+78.6000E-06,+806.2499762E-03
+78.8000E-06,+774.9999762E-03
+79.0000E-06,+806.2499762E-03
+79.2000E-06,+821.8749762E-03
+79.4000E-06,+837.4999762E-03
+79.6000E-06,+868.7499762E-03
+79.8000E-06,+884.3749762E-03
+80.0000E-06,+899.9999762E-03
+80.2000E-06,+931.2499762E-03
+80.4000E-06,+946.8749762E-03
+80.6000E-06,+946.8749762E-03
+80.8000E-06,+962.4999762E-03
+81.0000E-06,+978.1249762E-03
+81.2000E-06,+962.4999762E-03
+81.4000E-06,+993.7499762E-03
+81.6000E-06,+1.0093749762E+00
+81.8000E-06,+1.0093749762E+00
+82.0000E-06,+1.0093749762E+00
+82.2000E-06,+993.7499762E-03
+82.4000E-06,+993.7499762E-03
+82.6000E-06,+978.1249762E-03
+82.8000E-06,+946.8749762E-03
+83.0000E-06,+946.8749762E-03
+83.2000E-06,+931.2499762E-03
+83.4000E-06,+899.9999762E-03
+83.6000E-06,+884.3749762E-03
+83.8000E-06,+884.3749762E-03
+84.0000E-06,+884.3749762E-03
+84.2000E-06,+868.7499762E-03
+84.4000E-06,+853.1249762E-03
+84.6000E-06,+853.1249762E-03
+84.8000E-06,+853.1249762E-03
+85.0000E-06,+853.1249762E-03
+85.2000E-06,+853.1249762E-03
+85.4000E-06,+868.7499762E-03
+85.6000E-06,+884.3749762E-03
+85.8000E-06,+884.3749762E-03
+86.0000E-06,+884.3749762E-03
+86.2000E-06,+884.3749762E-03
+86.4000E-06,+915.6249762E-03
+86.6000E-06,+931.2499762E-03
+86.8000E-06,+931.2499762E-03
+87.0000E-06,+946.8749762E-03
+87.2000E-06,+946.8749762E-03
+87.4000E-06,+946.8749762E-03
+87.6000E-06,+962.4999762E-03
+87.8000E-06,+962.4999762E-03
+88.0000E-06,+1.2749999762E+00
+88.2000E-06,+2.2593749762E+00
+88.4000E-06,+2.3687499762E+00
+88.6000E-06,+2.5406249762E+00
+88.8000E-06,+2.5874999762E+00
+89.0000E-06,+2.5249999762E+00
+89.2000E-06,+2.4937499762E+00
+89.4000E-06,+2.5093749762E+00
+89.6000E-06,+2.5249999762E+00
+89.8000E-06,+2.5249999762E+00
+90.0000E-06,+2.5249999762E+00
+90.2000E-06,+2.4624999762E+00
+90.4000E-06,+2.3843749762E+00
+90.6000E-06,+2.3687499762E+00
+90.8000E-06,+2.3687499762E+00
+91.0000E-06,+2.3843749762E+00
+91.2000E-06,+2.3843749762E+00
+91.4000E-06,+2.4156249762E+00
+91.6000E-06,+2.4312499762E+00
+91.8000E-06,+2.4312499762E+00
+92.0000E-06,+2.3687499762E+00
+92.2000E-06,+1.1031249762E+00
+92.4000E-06,+978.1249762E-03
+92.6000E-06,+806.2499762E-03
+92.8000E-06,+759.3749762E-03
+93.0000E-06,+821.8749762E-03
+93.2000E-06,+884.3749762E-03
